11401089 | Association | Lymphoma | CD4
11401089 | Association | Leukemia Large Granular Lymphocytic | CD4
11401089 | Association | Neoplasms | CD4
37683720 | Association | COVID-19 | S
37736497 | Association | Intervertebral Disc Degeneration | CD8A
37736497 | Association | Intervertebral Disc Degeneration | PCBP1
37736497 | Association | Intervertebral Disc Degeneration | NCOA4
37736497 | Positive_Correlation | IL1B | NCOA4
37736497 | Association | Intervertebral Disc Degeneration | GZMB
37736497 | Association | Intervertebral Disc Degeneration | CD4
37736497 | Positive_Correlation | IL1B | PCBP1
37736497 | Association | Intervertebral Disc Degeneration | CD163
37736497 | Negative_Correlation | GPX4 | IL1B
37736497 | Association | Intervertebral Disc Degeneration | PTPRC
37736497 | Association | Intervertebral Disc Degeneration | CCR7
7768329 | Association | N-bromoacetyl-3 3' 5-triiodothyronine | Cdkn1b
10504409 | Association | Urea | POLE4
10504409 | Association | CDKN1C | LRRC59
10504409 | Association | Sodium Dodecyl Sulfate | POLE4
10504409 | Association | CDKN1C | NUP37
10504409 | Association | CDKN1C | POLE4
10504409 | Association | Water | POLE4
37249292 | Association | Immune System Diseases | Fbln2
37249292 | Association | Cd4 | Fbln2
37249292 | Association | Cd19 | Fbln2
37249292 | Association | Bone Diseases | Fbln2
37249292 | Association | Infections | Fbln2
37249292 | Negative_Correlation | Bone Diseases | FBLN2
37809082 | Negative_Correlation | blinatumomab | Neoplasms
37809082 | Negative_Correlation | blinatumomab | Precursor Cell Lymphoblastic Leukemia-Lymphoma
37809082 | Bind | blinatumomab | CD19
37809082 | Negative_Correlation | blinatumomab | Precursor B-Cell Lymphoblastic Leukemia-Lymphoma
36464706 | Negative_Correlation | remdesivir | COVID-19
36464706 | Negative_Correlation | nirmatrelvir and ritonavir drug combination | COVID-19
36584296 | Positive_Correlation | ING2 | RBM8A
36584296 | Positive_Correlation | tat | ING2
36584296 | Positive_Correlation | ING2 | TAT
36584296 | Bind | tat | RBM8A
36584296 | Bind | TAT | RBM8A
36584296 | Association | HIV Infections | ING2
37974224 | Association | Precancerous Conditions | PIEZO1
37974224 | Association | Squamous Cell Carcinoma of Head and Neck | YAP1
37974224 | Association | Mouth Diseases | PIEZO1
37974224 | Association | Squamous Cell Carcinoma of Head and Neck | VEGFC
37974224 | Association | Precancerous Conditions | CD4
37974224 | Association | Carcinoma Squamous Cell | PIEZO1
37974224 | Association | Carcinoma Squamous Cell | CD8B
37974224 | Association | Carcinoma Squamous Cell | Piezo1
37974224 | Association | Mouth Diseases | CD4
37974224 | Positive_Correlation | VEGFC | CD8A
37974224 | Association | Heart Valve Diseases | Piezo1
37974224 | Positive_Correlation | YAP1 | VEGFC
37974224 | Association | CD4 | PIEZO1
37974224 | Association | Carcinoma Squamous Cell | Yap1
37974224 | Association | Carcinoma Squamous Cell | CD8A
3091303 | Association | Acquired Immunodeficiency Syndrome | CD4
3091303 | Association | AIDS Dementia Complex | CD4
10979879 | Negative_Correlation | Testosterone | HIV Wasting Syndrome
9263597 | Negative_Correlation | Methimazole | Mbp
9263597 | Association | Methimazole | Triiodothyronine
9263597 | Association | Triiodothyronine | Mbp
9263597 | Negative_Correlation | Iodine | Mbp
9263597 | Negative_Correlation | Iodine | Thyroxine
9263597 | Negative_Correlation | Iodine | Triiodothyronine
38327516 | Association | Inflammation | Cd4
38327516 | Positive_Correlation | Cd4 | Cd8a
38327516 | Negative_Correlation | Cd28 | Cd4
38327516 | Positive_Correlation | Inflammation | Ifng
38327516 | Association | Neoplasms | Cd8a
38327516 | Association | Neoplasms | Trav6-3
38531803 | Association | FLOT2 | SIGLEC15
38531803 | Association | CTLA4 | FLOT2
38531803 | Association | Lymphoma Large B-Cell Diffuse | CD4
38531803 | Association | Lymphoma Large B-Cell Diffuse | FLOT2
38531803 | Association | FLOT2 | PDCD1LG2
38531803 | Association | Lymphoma Large B-Cell Diffuse | PDCD1LG2
38531803 | Association | FLOT2 | CD4
38531803 | Association | FLOT2 | PDCD1
38531803 | Association | FLOT2 | LAG3
38531803 | Association | FLOT2 | HAVCR2
35645319 | Positive_Correlation | Inflammation | IFNG
35645319 | Association | Inflammation | ACE2
35645319 | Negative_Correlation | remdesivir | Cytokine Release Syndrome
35645319 | Positive_Correlation | DPP4 | TNF
35645319 | Negative_Correlation | remdesivir | Inflammation
35645319 | Negative_Correlation | ruxolitinib | Inflammation
35645319 | Positive_Correlation | DPP4 | IFNG
35645319 | Positive_Correlation | IL6 | ACE2
35645319 | Positive_Correlation | IFNG | STAT1
35645319 | Positive_Correlation | Inflammation | IL6
35645319 | Association | Inflammation | STAT1
35645319 | Negative_Correlation | ruxolitinib | Cytokine Release Syndrome
35645319 | Positive_Correlation | STAT1 | TNF
35645319 | Association | IFNG | TNF
35645319 | Positive_Correlation | ACE2 | TNF
35645319 | Positive_Correlation | IFNG | ACE2
35645319 | Association | Inflammation | DPP4
35645319 | Positive_Correlation | Inflammation | TNF
13242767 | Negative_Correlation | Phosphorus-32 | Mysophobia
13242767 | Negative_Correlation | Phosphorus-32 | Infections
38606261 | Negative_Correlation | Ivermectin | NFKB1
38606261 | Negative_Correlation | Ivermectin | Scabies
38606261 | Negative_Correlation | Ivermectin | Malaria
38606261 | Negative_Correlation | Ivermectin | Inflammation
38606261 | Negative_Correlation | Ivermectin | Parasitic Diseases
38606261 | Negative_Correlation | Ivermectin | Rosacea
38606261 | Negative_Correlation | Ivermectin | Infections
38606261 | Negative_Correlation | Ivermectin | Virus Diseases
38606261 | Negative_Correlation | Ivermectin | Neoplasms
9709937 | Negative_Correlation | Testosterone | Weight Loss
9709937 | Association | Lipids | Weight Gain
9709937 | Association | Lipids | Hirsutism
9709937 | Association | Lipids | Pain
9709937 | Negative_Correlation | Testosterone | Hirsutism
9709937 | Negative_Correlation | Testosterone | Acquired Immunodeficiency Syndrome
20432760 | Association | Leukemic Infiltration | CD8A
20432760 | Association | Leukemic Infiltration | CD4
37352926 | Association | Colorectal Neoplasms | CD8A
37352926 | Association | Inflammation | CD8A
37352926 | Association | Neoplasms | CD8A
36064077 | Association | Pulmonary Embolism | SERPINE1
36064077 | Association | Pulmonary Embolism | VWF
36064077 | Association | Pulmonary Embolism | KIT
