38521387 | Association | Thyroid Hormone Resistance Syndrome | TSHR
38521387 | Association | Congenital Hypothyroidism | TSHR
38521387 | Association | Thyroxine | TSHR
38521387 | Association | Hypothyroidism | TSHR
38521387 | Association | Growth Disorders | TSHR
38521387 | Negative_Correlation | Thyroxine | Hypothyroidism
38521387 | Association | Intestinal Diseases | TSHR
38521387 | Negative_Correlation | Thorium | Congenital Hypothyroidism
24024019 | Negative_Correlation | Levamisole | Malnutrition
24024019 | Negative_Correlation | Selenium | HIV Infections
24024019 | Negative_Correlation | Levamisole | CD4
24024019 | Negative_Correlation | Levamisole | HIV Infections
24024019 | Negative_Correlation | Selenium | Acquired Immunodeficiency Syndrome
24024019 | Cotreatment | Levamisole | Selenium
24024019 | Negative_Correlation | Selenium | Malnutrition
24024019 | Negative_Correlation | Levamisole | Acquired Immunodeficiency Syndrome
24024019 | Negative_Correlation | Selenium | CD4
24024019 | Association | Acquired Immunodeficiency Syndrome | CD4
38429788 | Negative_Correlation | Triiodothyronine | Inflammation
38429788 | Negative_Correlation | Superoxides | Triiodothyronine
38637878 | Negative_Correlation | Dasatinib | COVID-19
38637878 | Association | COVID-19 | ACE2
38637862 | Association | Inflammation | FOXO3
38637862 | Association | Inflammation | Stat3
38637862 | Association | Colitis Ulcerative | Stat3
38637862 | Positive_Correlation | Dextran Sulfate | Colitis Ulcerative
38637862 | Association | Fatty Acids Volatile | Stat3
38637862 | Negative_Correlation | Fatty Acids Volatile | Colitis Ulcerative
38637862 | Association | Fatty Acids Volatile | FOXO3
38637862 | Association | Colitis Ulcerative | FOXO3
38254219 | Association | Colorectal Neoplasms | LGR5
38254219 | Association | Colorectal Neoplasms | HLA-C
38254219 | Association | Colorectal Neoplasms | CTNNB1
38254219 | Association | Colorectal Neoplasms | PROM1
38254219 | Association | Colorectal Neoplasms | YAP1
38254219 | Association | Colorectal Neoplasms | CD44
38609101 | Association | Lung Neoplasms | Hdac6
38609101 | Association | Cd4 | Hdac6
38609101 | Association | Death | Calr
38609101 | Association | H2 | Cd4
38609101 | Association | Lung Neoplasms | H2
38609101 | Positive_Correlation | H2 | Hdac6
38609101 | Association | Lung Neoplasms | Cd4
37293126 | Association | Inflammation | Ifng
37293126 | Association | Ifng | CD8A
37293126 | Association | Diabetes Mellitus Type 1 | CD8A
37293126 | Association | Diabetes Mellitus Type 1 | Ifng
38069042 | Negative_Correlation | Cytarabine | Leukemia Myeloid Acute
38069042 | Association | Leukemia Myeloid Acute | Rag2
38069042 | Negative_Correlation | venetoclax | Leukemia Myeloid Acute
38069042 | Association | Leukemia Myeloid Acute | Jak3
38069042 | Negative_Correlation | 2-Hydroxypropyl-beta-cyclodextrin | Cholesterol
38069042 | Negative_Correlation | venetoclax | BCL2
38069042 | Association | Leukemia Myeloid Acute | BCL2
38069042 | Association | 2-Hydroxypropyl-beta-cyclodextrin | Folic Acid
36563336 | Association | Leukemia Myeloid Acute | IFNG
