17508710 | @CHEMICAL_Serotonin | Serotonin | 351 | 19 | Chemical | chemical | 5-hydroxytryptamine
17508710 | @CHEMICAL_Serotonin | Serotonin | 372 | 9 | Chemical | chemical | serotonin
17508710 | @CHEMICAL_Pentetic_Acid | Pentetic Acid | 388 | 4 | Chemical | chemical | DTPA
17508710 | @GENE_EGFR | EGFR | 627 | 4 | Gene | gene | EGFR
17508710 | @CHEMICAL_matuzumab | matuzumab | 643 | 9 | Chemical | chemical | EMD 72000
17508710 | @GENE_EGFR | EGFR | 1124 | 4 | Gene | gene | EGFR
17508710 | @DISEASE_Carcinoma_Squamous_Cell | Carcinoma Squamous Cell | 1130 | 18 | Disease | disease | squamous carcinoma
17508710 | @CHEMICAL_Indium_111 | Indium-111 | 1595 | 5 | Chemical | chemical | 111In
17508710 | @GENE_EGFR | EGFR | 1641 | 4 | Gene | gene | EGFR
17508710 | @CHEMICAL_Indium_111 | Indium-111 | 1830 | 5 | Chemical | chemical | 111In
38548396 | @DISEASE_Cicatrix_Hypertrophic | Cicatrix Hypertrophic | 95 | 17 | Disease | disease | hypertrophic scar
38548396 | @DISEASE_Cicatrix_Hypertrophic | Cicatrix Hypertrophic | 261 | 17 | Disease | disease | hypertrophic scar
38548396 | @GENE_ACTA1 | ACTA1 | 1247 | 9 | Gene | gene | alpha-SMA
38548396 | @GENE_KLF4 | KLF4 | 1410 | 21 | Gene | gene | Kruppel-like factor 4
38548396 | @GENE_KLF4 | KLF4 | 1433 | 4 | Gene | gene | KLF4
38548396 | @GENE_KLF4 | KLF4 | 1620 | 4 | Gene | gene | KLF4
38548396 | @GENE_KLF4 | KLF4 | 1646 | 4 | Gene | gene | KLF4
38548396 | @GENE_KLF4 | KLF4 | 1795 | 4 | Gene | gene | KLF4
38548396 | @GENE_KLF4 | KLF4 | 1820 | 4 | Gene | gene | KLF4
38548396 | @GENE_KLF4 | KLF4 | 1866 | 4 | Gene | gene | KLF4
38548396 | @GENE_KLF4 | KLF4 | 1915 | 4 | Gene | gene | KLF4
38548396 | @GENE_KLF4 | KLF4 | 1988 | 4 | Gene | gene | KLF4
38548396 | @GENE_KLF4 | KLF4 | 2034 | 4 | Gene | gene | KLF4
38548396 | @GENE_KLF4 | KLF4 | 2097 | 4 | Gene | gene | KLF4
38548396 | @GENE_ACTA1 | ACTA1 | 2103 | 9 | Gene | gene | alpha-SMA
38548396 | @GENE_ACTA1 | ACTA1 | 2723 | 9 | Gene | gene | alpha-SMA
38548396 | @GENE_KLF4 | KLF4 | 2848 | 4 | Gene | gene | KLF4
38548396 | @GENE_KLF4 | KLF4 | 2995 | 4 | Gene | gene | KLF4
38548396 | @GENE_KLF4 | KLF4 | 3011 | 4 | Gene | gene | KLF4
38548396 | @GENE_ACTA1 | ACTA1 | 3085 | 9 | Gene | gene | alpha-SMA
38548396 | @GENE_KLF4 | KLF4 | 3151 | 4 | Gene | gene | KLF4
38548396 | @GENE_KLF4 | KLF4 | 3199 | 4 | Gene | gene | KLF4
38548396 | @GENE_KLF4 | KLF4 | 3215 | 4 | Gene | gene | KLF4
38548396 | @GENE_ACTA1 | ACTA1 | 3301 | 9 | Gene | gene | alpha-SMA
38548396 | @DISEASE_Fibrosis | Fibrosis | 3468 | 8 | Disease | disease | fibrosis
38548396 | @GENE_ACTA1 | ACTA1 | 3485 | 9 | Gene | gene | alpha-SMA
38548396 | @GENE_KLF4 | KLF4 | 3532 | 4 | Gene | gene | KLF4
14990991 | @GENE_SMARCB1 | SMARCB1 | 12 | 4 | Gene | gene | INI1
14990991 | @DISEASE_Neoplasms | Neoplasms | 17 | 5 | Disease | disease | tumor
14990991 | @GENE_SMARCA4 | SMARCA4 | 77 | 4 | Gene | gene | BRG1
14990991 | @GENE_SMARCB1 | SMARCB1 | 138 | 4 | Gene | gene | INI1
14990991 | @GENE_SMARCB1 | SMARCB1 | 143 | 5 | Gene | gene | hSNF5
14990991 | @DISEASE_Neoplasms | Neoplasms | 149 | 5 | Disease | disease | tumor
14990991 | @GENE_SMARCA2 | SMARCA2 | 254 | 4 | Gene | gene | SNF2
14990991 | @GENE_SMARCA2 | SMARCA2 | 274 | 3 | Gene | gene | BRM
14990991 | @GENE_SMARCA2 | SMARCA2 | 279 | 6 | Gene | gene | Brahma
14990991 | @GENE_SMARCA4 | SMARCA4 | 290 | 4 | Gene | gene | BRG1
14990991 | @GENE_SMARCA4 | SMARCA4 | 296 | 21 | Gene | gene | Brahma Related Gene 1
14990991 | @GENE_SMARCB1 | SMARCB1 | 577 | 4 | Gene | gene | INI1
14990991 | @GENE_SMARCA4 | SMARCA4 | 686 | 4 | Gene | gene | BRG1
14990991 | @GENE_SMARCB1 | SMARCB1 | 736 | 4 | Gene | gene | INI1
14990991 | @DISEASE_Neoplasms | Neoplasms | 751 | 6 | Disease | disease | cancer
14990991 | @GENE_SMARCB1 | SMARCB1 | 783 | 4 | Gene | gene | INI1
14990991 | @GENE_SMARCB1 | SMARCB1 | 846 | 4 | Gene | gene | INI1
14990991 | @GENE_SMARCB1 | SMARCB1 | 904 | 4 | Gene | gene | INI1
14990991 | @GENE_IFNG | IFNG | 930 | 16 | Gene | gene | interferon gamma
14990991 | @GENE_IFNG | IFNG | 948 | 8 | Gene | gene | IFNgamma
14990991 | @GENE_CIITA | CIITA | 980 | 5 | Gene | gene | CIITA
14990991 | @GENE_SMARCA4 | SMARCA4 | 996 | 4 | Gene | gene | BRG1
14990991 | @GENE_GBP1 | GBP1 | 1016 | 5 | Gene | gene | GBP-1
14990991 | @GENE_SMARCA4 | SMARCA4 | 1032 | 4 | Gene | gene | BRG1
14990991 | @GENE_SMARCB1 | SMARCB1 | 1069 | 4 | Gene | gene | INI1
14990991 | @GENE_SMARCA4 | SMARCA4 | 1151 | 4 | Gene | gene | BRG1
14990991 | @GENE_CIITA | CIITA | 1179 | 5 | Gene | gene | CIITA
14990991 | @GENE_SMARCB1 | SMARCB1 | 1217 | 4 | Gene | gene | INI1
14990991 | @GENE_SMARCB1 | SMARCB1 | 1252 | 4 | Gene | gene | INI1
14990991 | @GENE_SMARCB1 | SMARCB1 | 1287 | 4 | Gene | gene | INI1
14990991 | @GENE_SMARCA4 | SMARCA4 | 1410 | 4 | Gene | gene | BRG1
14990991 | @GENE_SMARCB1 | SMARCB1 | 1450 | 4 | Gene | gene | INI1
