2064322 | Association | Myelodysplastic Syndromes | CD4
16761627 | Negative_Correlation | Neoplasms | B2M
16761627 | Association | Stomach Neoplasms | B2M
16761627 | Association | Neoplasms | HLA-A
16761627 | Association | Stomach Neoplasms | HLA-A
9379028 | Positive_Correlation | CXCR4 | CD28
9379028 | Association | NRF1 | CXCR4
9379028 | Association | HIV Infections | CXCR4
9379028 | Positive_Correlation | IL2 | CXCR4
9379028 | Positive_Correlation | Ionomycin | CXCR4
10555208 | Association | ITIH4 | CXCR4
10555208 | Association | ITIH4 | CD4
10555208 | Association | CCR5 | ITIH4
37833581 | Association | Infections | CCR5
8752281 | Negative_Correlation | Infections | CXCL12
8752281 | Negative_Correlation | Infections | CCL5
8752281 | Association | CXCR4 | CD4
8752281 | Positive_Correlation | Cxcr4 | CXCL12
8752281 | Association | Acquired Immunodeficiency Syndrome | CXCL12
8752281 | Negative_Correlation | Infections | CCL3
8752281 | Negative_Correlation | Infections | CCL4
8752281 | Association | CXCL12 | CXCR4
8752280 | Negative_Correlation | Infections | CXCL12
8752280 | Association | Infections | CXCR4
8752280 | Association | CXCL12 | CXCR4
2972943 | Association | Alzheimer Disease | HLA-A
2972943 | Association | Alzheimer Disease | HLA-C
2972943 | Association | Alzheimer Disease | PTPRC
2972943 | Association | Alzheimer Disease | HLA-B
8658171 | Negative_Correlation | Infections | CCL4
8658171 | Negative_Correlation | Infections | CCL5
8658171 | Negative_Correlation | Infections | CCL3
38455049 | Association | Pericarditis | CD8A
38455049 | Association | Pericarditis | PTPRC
38455049 | Association | COVID-19 | PTPRC
38455049 | Association | Pericarditis | IL10
38455049 | Association | Pericarditis | IL1B
6205073 | Association | DLEU1 | HLA-A
6205073 | Association | DLEU1 | HLA-B
38374864 | Negative_Correlation | Thyrotropin | Thyroiditis
38374864 | Association | Thyroid Adenoma Hyperfunctioning | CRP
38448719 | Negative_Correlation | benzenesulfonic acid | dprE1
38448719 | Association | Tuberculosis | dprE1
38448719 | Negative_Correlation | benzenesulfonic acid | Tuberculosis
37498399 | Negative_Correlation | cilgavimab and tixagevimab drug combination | Multiple Sclerosis
37498399 | Negative_Correlation | cilgavimab and tixagevimab drug combination | ocrelizumab
37498399 | Negative_Correlation | ocrelizumab | Anthropophobia
37498399 | Negative_Correlation | ocrelizumab | Multiple Sclerosis
37498399 | Negative_Correlation | cilgavimab and tixagevimab drug combination | THBS1
37498399 | Negative_Correlation | cilgavimab and tixagevimab drug combination | Anthropophobia
37498399 | Negative_Correlation | cilgavimab and tixagevimab drug combination | COVID-19
27608299 | Negative_Correlation | AG 127 | Arthritis Rheumatoid
27608299 | Negative_Correlation | Tyrphostins | Inflammation
27608299 | Negative_Correlation | Tyrphostins | Arthritis
27608299 | Negative_Correlation | AG 127 | Fcer2a
27608299 | Association | Arthritis Rheumatoid | Foxp3
27608299 | Negative_Correlation | AG 127 | Cd2
27608299 | Negative_Correlation | Tyrphostins | Arthritis Rheumatoid
27608299 | Negative_Correlation | AG 127 | Il17a
27608299 | Negative_Correlation | AG 127 | Arthritis Psoriatic
27608299 | Association | Arthritis Psoriatic | Il17a
27608299 | Negative_Correlation | AG 127 | Cd4
27608299 | Negative_Correlation | AG 127 | Inflammation
27608299 | Negative_Correlation | AG 127 | Cd86
27608299 | Positive_Correlation | AG 127 | Tnf
27608299 | Negative_Correlation | Arthritis Psoriatic | Il4
27608299 | Negative_Correlation | AG 127 | Edema
27608299 | Negative_Correlation | AG 127 | Ifng
27608299 | Negative_Correlation | AG 127 | Arthritis Experimental
27608299 | Negative_Correlation | AG 127 | Cd247
27608299 | Positive_Correlation | AG 127 | Il4
27608299 | Positive_Correlation | AG 127 | Foxp3
27608299 | Positive_Correlation | Tyrphostins | Foxp3
27608299 | Negative_Correlation | AG 127 | Tcrb
27608299 | Negative_Correlation | AG 127 | Il2rb
27608299 | Negative_Correlation | AG 127 | Tnfrsf18
27608299 | Negative_Correlation | AG 127 | Cd80
27608299 | Negative_Correlation | AG 127 | Il2ra
27608299 | Association | Arthritis Psoriatic | Ifng
27608299 | Positive_Correlation | Arthritis Psoriatic | Tnf
27608299 | Negative_Correlation | AG 127 | Arthritis
27608299 | Negative_Correlation | AG 127 | Ccr5
37715885 | Association | Multiple Sclerosis | CCR6
37715885 | Negative_Correlation | Natalizumab | CCR5
