38315878 | @GENE_IBTK | IBTK | 169 | 33 | Gene | gene | Bruton tyrosine kinase inhibitors
38315878 | @GENE_IBTK | IBTK | 204 | 4 | Gene | gene | BTKi
38315878 | @CHEMICAL_zanubrutinib | zanubrutinib | 211 | 12 | Chemical | chemical | zanubrutinib
38315878 | @CHEMICAL_ibrutinib | ibrutinib | 228 | 9 | Chemical | chemical | ibrutinib
38315878 | @DISEASE_Waldenstrom_Macroglobulinemia | Waldenstrom Macroglobulinemia | 256 | 29 | Disease | disease | Waldenstrom macroglobulinemia
38315878 | @DISEASE_Waldenstrom_Macroglobulinemia | Waldenstrom Macroglobulinemia | 287 | 2 | Disease | disease | WM
38315878 | @CHEMICAL_zanubrutinib | zanubrutinib | 411 | 12 | Chemical | chemical | zanubrutinib
38315878 | @CHEMICAL_ibrutinib | ibrutinib | 439 | 9 | Chemical | chemical | ibrutinib
38315878 | @GENE_MYD88 | MYD88 | 485 | 5 | Gene | gene | MYD88
38315878 | @CHEMICAL_zanubrutinib | zanubrutinib | 498 | 12 | Chemical | chemical | zanubrutinib
38315878 | @GENE_MYD88 | MYD88 | 548 | 5 | Gene | gene | MYD88
38315878 | @GENE_CXCR4 | CXCR4 | 598 | 5 | Gene | gene | CXCR4
38315878 | @GENE_TP53 | TP53 | 613 | 4 | Gene | gene | TP53
38315878 | @GENE_ARID1A | ARID1A | 627 | 6 | Gene | gene | ARID1A
38315878 | @GENE_TERT | TERT | 647 | 4 | Gene | gene | TERT
38315878 | @GENE_TP53 | TP53 | 677 | 7 | Gene | gene | TP53MUT
38315878 | @GENE_IBTK | IBTK | 995 | 4 | Gene | gene | BTKi
38315878 | @CHEMICAL_ibrutinib | ibrutinib | 1108 | 9 | Chemical | chemical | ibrutinib
38315878 | @CHEMICAL_zanubrutinib | zanubrutinib | 1135 | 12 | Chemical | chemical | zanubrutinib
38315878 | @CHEMICAL_ibrutinib | ibrutinib | 1271 | 9 | Chemical | chemical | ibrutinib
38315878 | @CHEMICAL_zanubrutinib | zanubrutinib | 1282 | 12 | Chemical | chemical | zanubrutinib
38315878 | @GENE_TP53 | TP53 | 1436 | 7 | Gene | gene | TP53MUT
38315878 | @CHEMICAL_ibrutinib | ibrutinib | 1485 | 9 | Chemical | chemical | ibrutinib
38315878 | @CHEMICAL_zanubrutinib | zanubrutinib | 1529 | 12 | Chemical | chemical | zanubrutinib
38315878 | @GENE_TP53 | TP53 | 1589 | 7 | Gene | gene | TP53MUT
38315878 | @CHEMICAL_ibrutinib | ibrutinib | 1610 | 9 | Chemical | chemical | ibrutinib
38315878 | @CHEMICAL_zanubrutinib | zanubrutinib | 1621 | 12 | Chemical | chemical | zanubrutinib
38315878 | @DISEASE_Waldenstrom_Macroglobulinemia | Waldenstrom Macroglobulinemia | 1823 | 2 | Disease | disease | WM
38315878 | @GENE_TP53 | TP53 | 1852 | 7 | Gene | gene | TP53MUT
38315878 | @CHEMICAL_zanubrutinib | zanubrutinib | 1921 | 12 | Chemical | chemical | zanubrutinib
34971590 | @CHEMICAL_Lipids | Lipids | 11 | 5 | Chemical | chemical | lipid
34971590 | @GENE_NR1I3 | Nr1i3 | 52 | 32 | Gene | gene | constitutive androstane receptor
34971590 | @CHEMICAL_1_4_BDPOB | 1 4-BDPOB | 92 | 7 | Chemical | chemical | TCPOBOP
34971590 | @GENE_NR1I3 | Nr1i3 | 123 | 32 | Gene | gene | constitutive androstane receptor
34971590 | @GENE_NR1I3 | Nr1i3 | 157 | 3 | Gene | gene | CAR
34971590 | @CHEMICAL_Glucose | Glucose | 209 | 7 | Chemical | chemical | glucose
34971590 | @CHEMICAL_Lipids | Lipids | 218 | 5 | Chemical | chemical | lipid
34971590 | @GENE_NR1I3 | Nr1i3 | 342 | 3 | Gene | gene | CAR
34971590 | @GENE_NR1I3 | Nr1i3 | 377 | 3 | Gene | gene | CAR
34971590 | @CHEMICAL_1_4_BDPOB | 1 4-BDPOB | 401 | 7 | Chemical | chemical | TCPOBOP
34971590 | @GENE_NR1I3 | Nr1i3 | 471 | 3 | Gene | gene | CAR
34971590 | @CHEMICAL_1_4_BDPOB | 1 4-BDPOB | 538 | 7 | Chemical | chemical | TCPOBOP
34971590 | @GENE_NR1I3 | Nr1i3 | 629 | 3 | Gene | gene | CAR
34971590 | @GENE_NR1I2 | Nr1i2 | 633 | 3 | Gene | gene | PXR
34971590 | @GENE_NR1I3 | NR1I3 | 674 | 3 | Gene | gene | CAR
34971590 | @CHEMICAL_1_4_BDPOB | 1 4-BDPOB | 805 | 7 | Chemical | chemical | TCPOBOP
34971590 | @CHEMICAL_Lipids | Lipids | 822 | 5 | Chemical | chemical | lipid
34971590 | @CHEMICAL_Triglycerides | Triglycerides | 869 | 12 | Chemical | chemical | triglyceride
34971590 | @DISEASE_Hypertrophy | Hypertrophy | 902 | 22 | Disease | disease | hepatocyte hypertrophy
34971590 | @GENE_NR1I3 | Nr1i3 | 938 | 3 | Gene | gene | CAR
34971590 | @CHEMICAL_Triglycerides | Triglycerides | 1014 | 13 | Chemical | chemical | triglycerides
34971590 | @GENE_NR1I3 | Nr1i3 | 1073 | 3 | Gene | gene | CAR
34971590 | @GENE_NR1I3 | Nr1i3 | 1170 | 3 | Gene | gene | CAR
34971590 | @CHEMICAL_Lipids | Lipids | 1247 | 5 | Chemical | chemical | lipid
34971590 | @GENE_PPARA | Ppara | 1284 | 4 | Gene | gene | PPAR
34971590 | @GENE_LEP | Lep | 1290 | 6 | Gene | gene | leptin
34971590 | @GENE_NR1I3 | Nr1i3 | 1350 | 3 | Gene | gene | CAR
34971590 | @CHEMICAL_1_4_BDPOB | 1 4-BDPOB | 1368 | 7 | Chemical | chemical | TCPOBOP
34971590 | @CHEMICAL_Triglycerides | Triglycerides | 1419 | 12 | Chemical | chemical | triglyceride
34971590 | @CHEMICAL_Lipids | Lipids | 1565 | 5 | Chemical | chemical | lipid
34971590 | @GENE_NR1I3 | Nr1i3 | 1595 | 3 | Gene | gene | CAR
34971590 | @CHEMICAL_1_4_BDPOB | 1 4-BDPOB | 1630 | 7 | Chemical | chemical | TCPOBOP
34971590 | @GENE_NR1I3 | Nr1i3 | 1692 | 3 | Gene | gene | CAR
34971590 | @DISEASE_Endocrine_System_Diseases | Endocrine System Diseases | 1820 | 20 | Disease | disease | endocrine disruption
34887661 | @GENE_PIAS3 | PIAS3 | 117 | 5 | Gene | gene | PIAS3
34887661 | @GENE_STAT3 | STAT3 | 123 | 5 | Gene | gene | STAT3
34887661 | @GENE_VEGFA | VEGFA | 129 | 4 | Gene | gene | VEGF
34887661 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 155 | 20 | Disease | disease | Rheumatoid Arthritis
34887661 | @DISEASE_Inflammation | Inflammation | 189 | 21 | Disease | disease | Synovial inflammation
34887661 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 280 | 20 | Disease | disease | rheumatoid arthritis
34887661 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 302 | 2 | Disease | disease | RA
34887661 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 579 | 2 | Disease | disease | RA
34887661 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 692 | 2 | Disease | disease | RA
34887661 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 725 | 2 | Disease | disease | RA
34887661 | @DISEASE_Arthritis | Arthritis | 833 | 9 | Disease | disease | arthritis
34887661 | @DISEASE_Arthritis_Experimental | Arthritis Experimental | 844 | 3 | Disease | disease | CIA
34887661 | @GENE_VEGFA | Vegfa | 887 | 4 | Gene | gene | VEGF
34887661 | @GENE_VEGFA | VEGFA | 1240 | 4 | Gene | gene | VEGF
34887661 | @GENE_IL6 | IL6 | 1260 | 4 | Gene | gene | IL-6
34887661 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 1303 | 2 | Disease | disease | RA
34887661 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 1377 | 2 | Disease | disease | RA
34887661 | @GENE_VEGFA | VEGFA | 1592 | 4 | Gene | gene | VEGF
34887661 | @GENE_PIAS3 | PIAS3 | 1673 | 5 | Gene | gene | PIAS3
34887661 | @GENE_PIAS3 | PIAS3 | 1680 | 5 | Gene | gene | PIAS3
34887661 | @GENE_STAT3 | STAT3 | 1707 | 5 | Gene | gene | STAT3
34887661 | @GENE_VEGFA | VEGFA | 1744 | 4 | Gene | gene | VEGF
34887661 | @GENE_VEGFA | VEGFA | 1818 | 4 | Gene | gene | VEGF
34887661 | @DISEASE_Arthritis | Arthritis | 1852 | 9 | Disease | disease | arthritis
34887661 | @DISEASE_Arthritis_Experimental | Arthritis Experimental | 1878 | 3 | Disease | disease | CIA
34887661 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 2011 | 2 | Disease | disease | RA
30634511 | @DISEASE_Crohn_Disease | Crohn Disease | 0 | 15 | Disease | disease | Crohn's Disease
30634511 | @DISEASE_Crohn_Disease | Crohn Disease | 139 | 15 | Disease | disease | Crohn's disease
30634511 | @DISEASE_Crohn_Disease | Crohn Disease | 156 | 2 | Disease | disease | CD
30634511 | @DISEASE_Inflammation | Inflammation | 364 | 12 | Disease | disease | inflammatory
30634511 | @DISEASE_Inflammation | Inflammation | 429 | 12 | Disease | disease | inflammation
30634511 | @DISEASE_Escherichia_coli_Infections | Escherichia coli Infections | 745 | 14 | Disease | disease | AIEC infection
30634511 | @GENE_MIR18A | MIR18A | 1070 | 17 | Gene | gene | microRNA (miR)-18
30634511 | @GENE_PIAS3 | PIAS3 | 1103 | 5 | Gene | gene | PIAS3
30634511 | @GENE_UBE2I | UBE2I | 1326 | 4 | Gene | gene | UBC9
30634511 | @DISEASE_Inflammation | Inflammation | 1481 | 12 | Disease | disease | inflammation
30634511 | @GENE_MIR18A | MIR18A | 1522 | 6 | Gene | gene | miR-18
22082260 | @CHEMICAL_Oxygen | Oxygen | 12 | 6 | Chemical | chemical | oxygen
22082260 | @CHEMICAL_Glucose | Glucose | 19 | 7 | Chemical | chemical | glucose
22082260 | @GENE_SUMO3 | SUMO3 | 58 | 5 | Gene | gene | SUMO3
22082260 | @DISEASE_Brain_Ischemia | Brain Ischemia | 129 | 17 | Disease | disease | cerebral ischemia
22082260 | @CHEMICAL_Oxygen | Oxygen | 260 | 6 | Chemical | chemical | oxygen
22082260 | @CHEMICAL_Glucose | Glucose | 267 | 7 | Chemical | chemical | glucose
22082260 | @DISEASE_Ischemia | Ischemia | 305 | 8 | Disease | disease | ischemia
22082260 | @DISEASE_Neuroblastoma | Neuroblastoma | 487 | 17 | Disease | disease | neuroblastoma B35
22082260 | @GENE_SUMO3 | SUMO3 | 525 | 5 | Gene | gene | SUMO3
22082260 | @CHEMICAL_Sodium_Dodecyl_Sulfate | Sodium Dodecyl Sulfate | 826 | 3 | Chemical | chemical | SDS
22082260 | @GENE_SUMO3 | SUMO3 | 872 | 5 | Gene | gene | SUMO3
22082260 | @GENE_PIAS2 | PIAS2 | 962 | 5 | Gene | gene | PIAS2
22082260 | @GENE_PIAS4 | PIAS4 | 972 | 5 | Gene | gene | PIAS4
22082260 | @GENE_SUMO3 | SUMO3 | 1067 | 5 | Gene | gene | SUMO3
22082260 | @GENE_SUMO1 | SUMO1 | 1107 | 5 | Gene | gene | SUMO1
22082260 | @GENE_SUMO2 | SUMO2 | 1117 | 5 | Gene | gene | SUMO2
22082260 | @DISEASE_Brain_Ischemia | Brain Ischemia | 1458 | 8 | Disease | disease | ischemic
36188600 | @DISEASE_Neurodegenerative_Diseases | Neurodegenerative Diseases | 94 | 17 | Disease | disease | neurodegeneration
36188600 | @DISEASE_Neurodegenerative_Diseases | Neurodegenerative Diseases | 190 | 17 | Disease | disease | neurodegeneration
36188600 | @DISEASE_Thoracic_Outlet_Syndrome | Thoracic Outlet Syndrome | 330 | 31 | Disease | disease | neurovascular unit degeneration
36188600 | @DISEASE_Thoracic_Outlet_Syndrome | Thoracic Outlet Syndrome | 363 | 3 | Disease | disease | NVU
36188600 | @CHEMICAL_alpha_hydroxyglutarate | alpha-hydroxyglutarate | 1074 | 18 | Chemical | chemical | 2-Hydroxyglutarate
36188600 | @CHEMICAL_alpha_ketobutyric_acid | alpha-ketobutyric acid | 1094 | 18 | Chemical | chemical | 2-Ketobutyric acid
36188600 | @CHEMICAL_3_Hydroxyanthranilic_Acid | 3-Hydroxyanthranilic Acid | 1114 | 25 | Chemical | chemical | 3-Hydroxyanthranilic acid
36188600 | @CHEMICAL_fumaric_acid | fumaric acid | 1141 | 12 | Chemical | chemical | Fumaric acid
36188600 | @CHEMICAL_Leucine | Leucine | 1155 | 9 | Chemical | chemical | L-Leucine
36188600 | @CHEMICAL_Glutathione_Disulfide | Glutathione Disulfide | 1170 | 20 | Chemical | chemical | Oxidized glutathione
36188600 | @GENE_ECHS1 | Echs1 | 1275 | 5 | Gene | gene | ECHS1
36188600 | @GENE_GSTT1 | Gstt1 | 1282 | 5 | Gene | gene | GSTT1
36188600 | @GENE_HSD17B10 | Hsd17b10 | 1289 | 8 | Gene | gene | HSD17B10
36188600 | @GENE_LDHA | Ldha | 1299 | 4 | Gene | gene | LDHA
36188600 | @GENE_LDHB | Ldhb | 1309 | 4 | Gene | gene | LDHB
36188600 | @CHEMICAL_Glutathione_Disulfide | Glutathione Disulfide | 1363 | 20 | Chemical | chemical | oxidized glutathione
36188600 | @CHEMICAL_Glutathione_Disulfide | Glutathione Disulfide | 1385 | 4 | Chemical | chemical | GSSG
36188600 | @CHEMICAL_Glutathione_Disulfide | Glutathione Disulfide | 1474 | 4 | Chemical | chemical | GSSG
36188600 | @CHEMICAL_Glutathione_Disulfide | Glutathione Disulfide | 1613 | 4 | Chemical | chemical | GSSG
36188600 | @DISEASE_Thoracic_Outlet_Syndrome | Thoracic Outlet Syndrome | 1719 | 3 | Disease | disease | NVU
36188600 | @CHEMICAL_Glutathione_Disulfide | Glutathione Disulfide | 1737 | 4 | Chemical | chemical | GSSG
36188600 | @DISEASE_Neurodegenerative_Diseases | Neurodegenerative Diseases | 1791 | 26 | Disease | disease | neurodegenerative diseases
36188600 | @DISEASE_Thoracic_Outlet_Syndrome | Thoracic Outlet Syndrome | 1891 | 3 | Disease | disease | NVU
35179955 | @GENE_PPARGC1A | Ppargc1a | 115 | 9 | Gene | gene | PGC1alpha
35179955 | @CHEMICAL_Prednisone | Prednisone | 289 | 10 | Chemical | chemical | prednisone
35179955 | @DISEASE_Muscle_Neoplasms | Muscle Neoplasms | 331 | 17 | Disease | disease | dystrophic muscle
35179955 | @CHEMICAL_Prednisone | Prednisone | 401 | 10 | Chemical | chemical | prednisone
35179955 | @CHEMICAL_Prednisone | Prednisone | 478 | 10 | Chemical | chemical | prednisone
35179955 | @CHEMICAL_NAD | NAD | 530 | 33 | Chemical | chemical | nicotinamide adenine dinucleotide
35179955 | @CHEMICAL_NAD | NAD | 565 | 4 | Chemical | chemical | NAD+
35179955 | @GENE_ARNTL | Arntl | 810 | 5 | Gene | gene | Bmal1
35179955 | @CHEMICAL_Prednisone | Prednisone | 849 | 10 | Chemical | chemical | prednisone
35179955 | @GENE_ARNTL | Arntl | 875 | 5 | Gene | gene | BMAL1
35179955 | @GENE_NR3C1 | Nr3c1 | 891 | 23 | Gene | gene | glucocorticoid receptor
35179955 | @GENE_NAMPT | Nampt | 962 | 5 | Gene | gene | Nampt
35179955 | @GENE_PPARGC1A | Ppargc1a | 972 | 8 | Gene | gene | Ppargc1a
35179955 | @GENE_PPARGC1A | Ppargc1a | 982 | 67 | Gene | gene | peroxisome proliferator-activated receptor-gamma coactivator 1alpha
35179955 | @GENE_PPARGC1A | Ppargc1a | 1051 | 9 | Gene | gene | PGC1alpha
35179955 | @GENE_PPARGC1A | Ppargc1a | 1105 | 9 | Gene | gene | PGC1alpha
35179955 | @CHEMICAL_Prednisone | Prednisone | 1165 | 10 | Chemical | chemical | prednisone
35179955 | @GENE_PPARGC1A | Ppargc1a | 1185 | 9 | Gene | gene | PGC1alpha
