38234717 | @DISEASE_Hereditary_Autoinflammatory_Diseases | Hereditary Autoinflammatory Diseases | 938 | 35 | Disease | disease | autoimmune/autoinflammatory disease
38234717 | @DISEASE_Autoimmune_Diseases | Autoimmune Diseases | 1017 | 10 | Disease | disease | autoimmune
38234717 | @DISEASE_Hereditary_Autoinflammatory_Diseases | Hereditary Autoinflammatory Diseases | 1028 | 16 | Disease | disease | autoinflammatory
38234717 | @DISEASE_Neoplasms | Neoplasms | 1258 | 6 | Disease | disease | cancer
38234717 | @DISEASE_Hereditary_Autoinflammatory_Diseases | Hereditary Autoinflammatory Diseases | 1302 | 36 | Disease | disease | autoimmune/autoinflammatory diseases
38234717 | @DISEASE_Hereditary_Autoinflammatory_Diseases | Hereditary Autoinflammatory Diseases | 1402 | 35 | Disease | disease | autoimmune/autoinflammatory disease
38234717 | @DISEASE_Neoplasms | Neoplasms | 1462 | 6 | Disease | disease | cancer
38234717 | @DISEASE_Neoplasms | Neoplasms | 1647 | 5 | Disease | disease | Tumor
38234717 | @DISEASE_Neoplasms | Neoplasms | 1692 | 5 | Disease | disease | tumor
38234717 | @GENE_IRF1 | IRF1 | 1724 | 4 | Gene | gene | IRF1
38234717 | @GENE_IKZF1 | IKZF1 | 1730 | 5 | Gene | gene | IKZF1
38234717 | @GENE_SPI1 | SPI1 | 1737 | 4 | Gene | gene | SPI1
38234717 | @GENE_SH2B3 | SH2B3 | 1743 | 5 | Gene | gene | SH2B3
38234717 | @GENE_LAT | LAT | 1750 | 3 | Gene | gene | LAT
38234717 | @DISEASE_Neoplasms | Neoplasms | 1830 | 5 | Disease | disease | tumor
38234717 | @GENE_CD4 | CD4 | 1872 | 3 | Gene | gene | CD4
38234717 | @GENE_CD8A | CD8A | 1877 | 4 | Gene | gene | CD8A
38234717 | @GENE_ITGAM | ITGAM | 1883 | 5 | Gene | gene | CD11B
38234717 | @GENE_PTPRC | PTPRC | 1890 | 4 | Gene | gene | CD45
38234717 | @DISEASE_Neoplasms | Neoplasms | 1916 | 6 | Disease | disease | cancer
38234717 | @DISEASE_Neoplasms | Neoplasms | 1930 | 5 | Disease | disease | Tumor
38234717 | @DISEASE_Neoplasms | Neoplasms | 1970 | 6 | Disease | disease | cancer
38234717 | @DISEASE_Neoplasms | Neoplasms | 2052 | 5 | Disease | disease | tumor
38234717 | @GENE_IRF1 | IRF1 | 2473 | 4 | Gene | gene | IRF1
38234717 | @GENE_IKZF1 | IKZF1 | 2479 | 5 | Gene | gene | IKZF1
38234717 | @GENE_SPI1 | SPI1 | 2486 | 4 | Gene | gene | SPI1
38234717 | @GENE_SH2B3 | SH2B3 | 2492 | 5 | Gene | gene | SH2B3
38234717 | @GENE_LAT | LAT | 2503 | 3 | Gene | gene | LAT
38234717 | @DISEASE_Neoplasms | Neoplasms | 2531 | 6 | Disease | disease | cancer
31681580 | @GENE_C1QBP | C1QBP | 23 | 5 | Gene | gene | gC1qR
31681580 | @GENE_C1QBP | C1QBP | 29 | 3 | Gene | gene | p32
31681580 | @GENE_C1QBP | C1QBP | 33 | 5 | Gene | gene | HABP1
31681580 | @DISEASE_Mesothelioma_Malignant | Mesothelioma Malignant | 60 | 30 | Disease | disease | Malignant Pleural Mesothelioma
31681580 | @GENE_C1QBP | C1QBP | 218 | 5 | Gene | gene | gC1qR
31681580 | @GENE_C1QBP | C1QBP | 224 | 3 | Gene | gene | p32
31681580 | @GENE_C1QBP | C1QBP | 228 | 5 | Gene | gene | HABP1
31681580 | @DISEASE_Neoplasms | Neoplasms | 268 | 7 | Disease | disease | cancers
31681580 | @DISEASE_Adenocarcinoma | Adenocarcinoma | 290 | 15 | Disease | disease | adenocarcinomas
31681580 | @GENE_C1QBP | C1QBP | 331 | 5 | Gene | gene | gC1qR
31681580 | @DISEASE_Mesothelioma_Malignant | Mesothelioma Malignant | 351 | 30 | Disease | disease | malignant pleural mesothelioma
31681580 | @DISEASE_Mesothelioma_Malignant | Mesothelioma Malignant | 383 | 3 | Disease | disease | MPM
31681580 | @DISEASE_Mesothelioma_Malignant | Mesothelioma Malignant | 546 | 3 | Disease | disease | MPM
31681580 | @DISEASE_Carcinoma_Renal_Cell | Carcinoma Renal Cell | 588 | 11 | Disease | disease | sarcomatoid
31681580 | @GENE_C1QBP | C1QBP | 658 | 5 | Gene | gene | gC1qR
31681580 | @GENE_C1QBP | C1QBP | 835 | 5 | Gene | gene | gC1qR
31681580 | @GENE_C1QBP | C1QBP | 1042 | 5 | Gene | gene | gC1qR
31681580 | @DISEASE_Mesothelioma_Malignant | Mesothelioma Malignant | 1147 | 15 | Disease | disease | epithelioid MPM
31681580 | @GENE_C1QBP | C1QBP | 1169 | 5 | Gene | gene | gC1qR
31681580 | @GENE_C1QBP | C1QBP | 1432 | 5 | Gene | gene | gC1qR
31681580 | @GENE_C1QBP | C1QBP | 1548 | 5 | Gene | gene | gC1qR
31681580 | @DISEASE_Neoplasms | Neoplasms | 1587 | 5 | Disease | disease | tumor
31681580 | @GENE_CD4 | CD4 | 1636 | 3 | Gene | gene | CD4
31681580 | @GENE_C1QBP | C1QBP | 1712 | 5 | Gene | gene | gC1qR
31681580 | @GENE_C1QBP | C1QBP | 1775 | 5 | Gene | gene | gC1qR
31681580 | @DISEASE_Mesothelioma_Malignant | Mesothelioma Malignant | 1795 | 3 | Disease | disease | MPM
31681580 | @GENE_C1QBP | C1QBP | 1818 | 5 | Gene | gene | gC1qR
8243653 | @GENE_DIO3 | Dio3 | 16 | 33 | Gene | gene | type III iodothyronine deiodinase
8243653 | @GENE_DIO3 | DIO3 | 110 | 33 | Gene | gene | type III iodothyronine deiodinase
8243653 | @CHEMICAL_Triiodothyronine | Triiodothyronine | 250 | 2 | Chemical | chemical | T3
8243653 | @CHEMICAL_N_bromoacetyl_3_3'_5_triiodothyronine | N-bromoacetyl-3 3' 5-triiodothyronine | 360 | 16 | Chemical | chemical | N-bromoacetyl-T3
8243653 | @CHEMICAL_N_bromoacetyl_3_3'_5_triiodothyronine | N-bromoacetyl-3 3' 5-triiodothyronine | 378 | 6 | Chemical | chemical | BrAcT3
8243653 | @CHEMICAL_Triiodothyronine | Triiodothyronine | 422 | 2 | Chemical | chemical | T3
8243653 | @CHEMICAL_N_bromoacetyl_3_3'_5_triiodothyronine | N-bromoacetyl-3 3' 5-triiodothyronine | 477 | 12 | Chemical | chemical | BrAc[125I]T3
8243653 | @CHEMICAL_N_bromoacetyl_3_3'_5_triiodothyronine | N-bromoacetyl-3 3' 5-triiodothyronine | 809 | 12 | Chemical | chemical | BrAc[125I]T3
2329720 | @DISEASE_Glomerulonephritis_IGA | Glomerulonephritis IGA | 234 | 15 | Disease | disease | IgA nephropathy
2329720 | @DISEASE_Glomerulonephritis | Glomerulonephritis | 269 | 18 | Disease | disease | glomerulonephritis
2329720 | @DISEASE_Glomerulonephritis_Membranous | Glomerulonephritis Membranous | 335 | 22 | Disease | disease | membranous nephropathy
2329720 | @DISEASE_Adenocarcinoma | Adenocarcinoma | 490 | 14 | Disease | disease | tubular injury
2329720 | @CHEMICAL_Cyclosporine | Cyclosporine | 534 | 12 | Chemical | chemical | cyclosporine
2329720 | @GENE_CD8A | CD8A | 762 | 3 | Gene | gene | CD8
2329720 | @GENE_CD4 | CD4 | 785 | 3 | Gene | gene | CD4
37991414 | @GENE_IFI30 | IFI30 | 38 | 37 | Gene | gene | interferon gamma-inducible protein 30
37991414 | @DISEASE_Carcinoma_Renal_Cell | Carcinoma Renal Cell | 116 | 31 | Disease | disease | clear cell renal cell carcinoma
37991414 | @GENE_IFI30 | IFI30 | 176 | 37 | Gene | gene | interferon gamma-inducible protein 30
37991414 | @GENE_IFI30 | IFI30 | 215 | 5 | Gene | gene | IFI30
37991414 | @DISEASE_Neoplasms | Neoplasms | 287 | 12 | Disease | disease | malignancies
37991414 | @DISEASE_Carcinoma_Renal_Cell | Carcinoma Renal Cell | 331 | 31 | Disease | disease | clear cell renal cell carcinoma
37991414 | @DISEASE_Carcinoma_Renal_Cell | Carcinoma Renal Cell | 364 | 5 | Disease | disease | ccRCC
37991414 | @GENE_IFI30 | IFI30 | 437 | 5 | Gene | gene | IFI30
37991414 | @DISEASE_Carcinoma_Renal_Cell | Carcinoma Renal Cell | 457 | 5 | Disease | disease | ccRCC
37991414 | @GENE_IFI30 | IFI30 | 516 | 5 | Gene | gene | IFI30
37991414 | @DISEASE_Carcinoma_Renal_Cell | Carcinoma Renal Cell | 547 | 5 | Disease | disease | ccRCC
37991414 | @DISEASE_Neoplasms | Neoplasms | 622 | 5 | Disease | disease | tumor
37991414 | @DISEASE_Carcinoma_Renal_Cell | Carcinoma Renal Cell | 706 | 5 | Disease | disease | ccRCC
37991414 | @GENE_IFI30 | IFI30 | 729 | 5 | Gene | gene | IFI30
37991414 | @GENE_IFI30 | IFI30 | 795 | 5 | Gene | gene | IFI30
37991414 | @DISEASE_Carcinoma_Renal_Cell | Carcinoma Renal Cell | 875 | 5 | Disease | disease | ccRCC
37991414 | @GENE_IFI30 | IFI30 | 1122 | 5 | Gene | gene | IFI30
37991414 | @GENE_CD3E | CD3E | 1146 | 4 | Gene | gene | CD3E
37991414 | @GENE_CD4 | CD4 | 1152 | 3 | Gene | gene | CD4
37991414 | @GENE_CD8A | CD8A | 1157 | 4 | Gene | gene | CD8A
37991414 | @GENE_IL10 | IL10 | 1163 | 14 | Gene | gene | interleukin 10
37991414 | @GENE_IL10 | IL10 | 1179 | 5 | Gene | gene | IL-10
37991414 | @GENE_TGFB1 | TGFB1 | 1190 | 31 | Gene | gene | transforming growth factor beta
37991414 | @GENE_TGFB2 | TGFB2 | 1223 | 5 | Gene | gene | TGFB2
37991414 | @DISEASE_Carcinoma_Renal_Cell | Carcinoma Renal Cell | 1253 | 5 | Disease | disease | ccRCC
37991414 | @DISEASE_Neoplasms | Neoplasms | 1273 | 6 | Disease | disease | Cancer
37991414 | @GENE_CD3E | CD3E | 1474 | 4 | Gene | gene | CD3E
37991414 | @GENE_CD4 | CD4 | 1480 | 3 | Gene | gene | CD4
37991414 | @GENE_CD8A | CD8A | 1485 | 4 | Gene | gene | CD8A
37991414 | @GENE_IL10 | IL10 | 1494 | 5 | Gene | gene | IL-10
37991414 | @GENE_IFI30 | IFI30 | 1508 | 5 | Gene | gene | IFI30
37991414 | @GENE_TGFB2 | TGFB2 | 1554 | 5 | Gene | gene | TGFB2
37991414 | @GENE_IFI30 | IFI30 | 1580 | 5 | Gene | gene | IFI30
37991414 | @DISEASE_Carcinoma_Renal_Cell | Carcinoma Renal Cell | 1600 | 5 | Disease | disease | ccRCC
37991414 | @GENE_IFI30 | IFI30 | 1669 | 5 | Gene | gene | IFI30
37991414 | @DISEASE_Carcinoma_Renal_Cell | Carcinoma Renal Cell | 1718 | 5 | Disease | disease | ccRCC
37991414 | @GENE_IFI30 | IFI30 | 1730 | 5 | Gene | gene | IFI30
37991414 | @DISEASE_Carcinoma_Renal_Cell | Carcinoma Renal Cell | 1767 | 5 | Disease | disease | ccRCC
37991414 | @GENE_IFI30 | IFI30 | 1861 | 5 | Gene | gene | IFI30
37991414 | @DISEASE_Carcinoma_Renal_Cell | Carcinoma Renal Cell | 1971 | 5 | Disease | disease | ccRCC
1535337 | @GENE_CD4 | Cd4 | 83 | 3 | Gene | gene | CD4
1535337 | @GENE_CD4 | Cd4 | 112 | 3 | Gene | gene | CD4
1535337 | @GENE_CD4 | Cd4 | 324 | 3 | Gene | gene | CD4
1535337 | @GENE_CD247 | Cd247 | 336 | 3 | Gene | gene | CD3
1535337 | @GENE_CD24A | Cd24a | 349 | 3 | Gene | gene | HSA
1535337 | @GENE_CD4 | Cd4 | 394 | 3 | Gene | gene | CD4
1535337 | @GENE_CD247 | Cd247 | 406 | 3 | Gene | gene | CD3
1535337 | @GENE_CD5 | Cd5 | 412 | 4 | Gene | gene | CD5(
1535337 | @GENE_CD24A | Cd24a | 421 | 3 | Gene | gene | HSA
1535337 | @GENE_CD44 | Cd44 | 433 | 4 | Gene | gene | CD44
1535337 | @GENE_THY1 | Thy1 | 472 | 7 | Gene | gene | Thy-1.1
1535337 | @GENE_ITGAL | Itgal | 481 | 6 | Gene | gene | Ly-2.1
1535337 | @GENE_LY31 | Ly31 | 493 | 6 | Gene | gene | Ly-3.1
1535337 | @GENE_CD8A | Cd8a | 802 | 9 | Gene | gene | CD8 alpha
1535337 | @DISEASE_Diabetes_Mellitus_Insulin_Dependent_12 | Diabetes Mellitus Insulin-Dependent 12 | 934 | 12 | Disease | disease | SAKRTLS 12.1
1384663 | @DISEASE_Leukemia_Myeloid_Acute | Leukemia Myeloid Acute | 13 | 14 | Disease | disease | acute leukemia
1384663 | @DISEASE_Leukemia_Myeloid_Acute | Leukemia Myeloid Acute | 111 | 22 | Disease | disease | acute myeloid leukemia
1384663 | @DISEASE_Leukemia_Myeloid_Acute | Leukemia Myeloid Acute | 135 | 3 | Disease | disease | AML
