31714156 | @DISEASE_Carcinoma_Non_Small_Cell_Lung | Carcinoma Non-Small-Cell Lung | 2455 | 26 | Disease | disease | non-small cell lung cancer
31714156 | @GENE_PDCD1 | PDCD1 | 2489 | 23 | Gene | gene | programmed cell death 1
31714156 | @CHEMICAL_Phosphorus | Phosphorus | 2514 | 2 | Chemical | chemical | PS
31714156 | @CHEMICAL_Phosphatidylserines | Phosphatidylserines | 2518 | 18 | Chemical | chemical | phosphatidylserine
31714156 | @DISEASE_Carcinoma_Small_Cell | Carcinoma Small Cell | 2538 | 4 | Disease | disease | SCLC
31714156 | @DISEASE_Small_Cell_Lung_Carcinoma | Small Cell Lung Carcinoma | 2544 | 22 | Disease | disease | small cell lung cancer
31714156 | @DISEASE_Neoplasms | Neoplasms | 2629 | 5 | Disease | disease | tumor
31714156 | @GENE_TNF | TNF | 2791 | 3 | Gene | gene | TNF
31714156 | @GENE_TNF | TNF | 2796 | 21 | Gene | gene | tumor necrosis factor
31741759 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 35 | 13 | Disease | disease | breast cancer
31741759 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 104 | 13 | Disease | disease | breast cancer
31741759 | @DISEASE_Neoplasms | Neoplasms | 144 | 6 | Disease | disease | cancer
31741759 | @DISEASE_Neoplasms | Neoplasms | 197 | 6 | Disease | disease | cancer
31741759 | @DISEASE_Neoplasms | Neoplasms | 250 | 6 | Disease | disease | cancer
31741759 | @DISEASE_Neoplasms | Neoplasms | 367 | 10 | Disease | disease | malignancy
31741759 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 420 | 13 | Disease | disease | breast cancer
31741759 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 534 | 13 | Disease | disease | breast cancer
31741759 | @GENE_CYP19A1 | CYP19A1 | 636 | 9 | Gene | gene | Aromatase
31741759 | @GENE_NEK3 | NEK3 | 647 | 35 | Gene | gene | never in mitosis A-related kinase 3
31741759 | @GENE_NEK3 | NEK3 | 684 | 4 | Gene | gene | NEK3
31741759 | @GENE_PIAS3 | PIAS3 | 691 | 36 | Gene | gene | protein inhibitor of activated STAT3
31741759 | @GENE_PIAS3 | PIAS3 | 729 | 5 | Gene | gene | PIAS3
31741759 | @GENE_PRL | PRL | 741 | 9 | Gene | gene | prolactin
31741759 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 788 | 13 | Disease | disease | breast cancer
31741759 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 887 | 13 | Disease | disease | breast cancer
31741759 | @DISEASE_Neoplasms | Neoplasms | 1688 | 5 | Disease | disease | tumor
31741759 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 1878 | 13 | Disease | disease | breast cancer
24641908 | @CHEMICAL_Lipids | Lipids | 16 | 5 | Chemical | chemical | lipid
24641908 | @CHEMICAL_Lipids | Lipids | 69 | 5 | Chemical | chemical | lipid
24641908 | @CHEMICAL_Water | Water | 87 | 5 | Chemical | chemical | water
24641908 | @CHEMICAL_Lipids | Lipids | 219 | 5 | Chemical | chemical | lipid
24641908 | @CHEMICAL_Lipids | Lipids | 291 | 5 | Chemical | chemical | lipid
24641908 | @CHEMICAL_mica | mica | 328 | 4 | Chemical | chemical | mica
24641908 | @CHEMICAL_Lipids | Lipids | 397 | 5 | Chemical | chemical | Lipid
24641908 | @CHEMICAL_Lipids | Lipids | 485 | 5 | Chemical | chemical | lipid
24641908 | @CHEMICAL_Lipids | Lipids | 889 | 5 | Chemical | chemical | lipid
24641908 | @CHEMICAL_Lipids | Lipids | 1058 | 5 | Chemical | chemical | lipid
24641908 | @CHEMICAL_Lipids | Lipids | 1147 | 5 | Chemical | chemical | lipid
24641908 | @CHEMICAL_Lipids | Lipids | 1318 | 5 | Chemical | chemical | lipid
24641908 | @CHEMICAL_Lipids | Lipids | 1420 | 5 | Chemical | chemical | lipid
24641908 | @CHEMICAL_dimyristoylphosphatidylglycerol | dimyristoylphosphatidylglycerol | 1426 | 58 | Chemical | chemical | -- 1,2-dimyristoyl-sn-glycero-3-[phospho-rac-(1-glycerol)]
24641908 | @CHEMICAL_dimyristoylphosphatidylglycerol | dimyristoylphosphatidylglycerol | 1486 | 4 | Chemical | chemical | DMPG
24641908 | @CHEMICAL_Lipids | Lipids | 1559 | 5 | Chemical | chemical | lipid
24641908 | @CHEMICAL_Sodium_Chloride | Sodium Chloride | 1741 | 4 | Chemical | chemical | NaCl
24641908 | @CHEMICAL_Calcium_Chloride | Calcium Chloride | 1747 | 5 | Chemical | chemical | CaCl2
24641908 | @CHEMICAL_Lipids | Lipids | 1850 | 6 | Chemical | chemical | lipids
24641908 | @CHEMICAL_Lipids | Lipids | 1864 | 5 | Chemical | chemical | lipid
24641908 | @CHEMICAL_Carbohydrates | Carbohydrates | 1951 | 13 | Chemical | chemical | carbohydrates
24641908 | @CHEMICAL_Fructose | Fructose | 1966 | 8 | Chemical | chemical | fructose
24641908 | @CHEMICAL_Sucrose | Sucrose | 1979 | 7 | Chemical | chemical | sucrose
24641908 | @CHEMICAL_Ethanol | Ethanol | 1989 | 7 | Chemical | chemical | ethanol
24641908 | @CHEMICAL_Ethanol | Ethanol | 1998 | 4 | Chemical | chemical | EtOH
24641908 | @CHEMICAL_Dimethyl_Sulfoxide | Dimethyl Sulfoxide | 2007 | 17 | Chemical | chemical | dimethylsulfoxide
24641908 | @CHEMICAL_Dimethyl_Sulfoxide | Dimethyl Sulfoxide | 2026 | 4 | Chemical | chemical | DMSO
24641908 | @CHEMICAL_Lipids | Lipids | 2081 | 5 | Chemical | chemical | lipid
33958760 | @DISEASE_Neoplasms | Neoplasms | 0 | 5 | Disease | disease | LIMIT
33958760 | @DISEASE_Neoplasms | Neoplasms | 34 | 6 | Disease | disease | cancer
33958760 | @DISEASE_Neoplasms | Neoplasms | 121 | 6 | Disease | disease | tumour
33958760 | @GENE_CD8A | CD8A | 140 | 3 | Gene | gene | CD8
33958760 | @DISEASE_Neoplasms | Neoplasms | 171 | 6 | Disease | disease | tumour
33958760 | @DISEASE_Neoplasms | Neoplasms | 310 | 6 | Disease | disease | tumour
33958760 | @DISEASE_Neoplasms | Neoplasms | 381 | 24 | Disease | disease | immunogenicity of tumour
33958760 | @DISEASE_Neoplasms | Neoplasms | 407 | 5 | Disease | disease | LIMIT
33958760 | @GENE_IFNG | IFNG | 449 | 8 | Gene | gene | IFNgamma
33958760 | @DISEASE_Neoplasms | Neoplasms | 469 | 5 | Disease | disease | LIMIT
33958760 | @DISEASE_Neoplasms | Neoplasms | 476 | 5 | Disease | disease | LIMIT
33958760 | @GENE_TMEM132A | TMEM132A | 500 | 25 | Gene | gene | guanylate-binding protein
33958760 | @GENE_TMEM132A | TMEM132A | 527 | 3 | Gene | gene | GBP
33958760 | @GENE_HSP90AA1 | HSP90AA1 | 588 | 5 | Gene | gene | HSP90
33958760 | @GENE_HSF1 | Hsf1 | 598 | 19 | Gene | gene | heat shock factor-1
33958760 | @GENE_HSF1 | Hsf1 | 619 | 4 | Gene | gene | HSF1
33958760 | @GENE_HSF1 | Hsf1 | 647 | 4 | Gene | gene | HSF1
33958760 | @GENE_CD274 | CD274 | 709 | 5 | Gene | gene | PD-L1
33958760 | @DISEASE_Neoplasms | Neoplasms | 748 | 5 | Disease | disease | LIMIT
