30046007 | Association | Head and Neck Neoplasms | NSD1
30046007 | Association | Squamous Cell Carcinoma of Head and Neck | TSC2
30046007 | Association | Squamous Cell Carcinoma of Head and Neck | HLA-A
30046007 | Negative_Correlation | Platinum | Squamous Cell Carcinoma of Head and Neck
30046007 | Association | Squamous Cell Carcinoma of Head and Neck | CASP8
15697418 | Association | Lipids | Silicon
15697418 | Association | mica | Lipids
32964767 | Association | Lymphoma Extranodal NK-T-Cell | B2M
32964767 | Association | Lymphoma Extranodal NK-T-Cell | PDCD1LG2
32964767 | Association | Lymphoma Extranodal NK-T-Cell | CD274
32964767 | Association | Lymphoma Extranodal NK-T-Cell | TAP1
32964767 | Association | Lymphoma Extranodal NK-T-Cell | HLA-A
37272165 | Positive_Correlation | IFNG | TMEM132A
37272165 | Association | IRF1 | TMEM132A
37272165 | Bind | TMEM132A | STAT1
37272165 | Positive_Correlation | IFNG | STAT1
37272165 | Association | IFNG | IRF1
30558329 | Negative_Correlation | epigallocatechin gallate | STAT1
30558329 | Negative_Correlation | tofacitinib | JAK2
30558329 | Association | Alopecia Areata | KLRK1
30558329 | Negative_Correlation | HLA-B | IRF1
30558329 | Negative_Correlation | epigallocatechin gallate | JAK2
30558329 | Negative_Correlation | epigallocatechin gallate | IRF1
30558329 | Negative_Correlation | ruxolitinib | JAK2
30558329 | Negative_Correlation | epigallocatechin gallate | CD8A
30558329 | Association | Alopecia Areata | STAT1
30558329 | Association | Alopecia Areata | HLA-B
30558329 | Association | Alopecia Areata | CD8A
30558329 | Association | Alopecia Areata | IFNG
30558329 | Negative_Correlation | tofacitinib | JAK1
30558329 | Association | Alopecia Areata | JAK2
30558329 | Negative_Correlation | epigallocatechin gallate | JAK1
30558329 | Negative_Correlation | epigallocatechin gallate | Alopecia Areata
30558329 | Negative_Correlation | ruxolitinib | JAK1
30558329 | Association | KLRK1 | CD8A
30558329 | Negative_Correlation | epigallocatechin gallate | IFNG
30558329 | Association | Alopecia Areata | IRF1
30558329 | Negative_Correlation | epigallocatechin gallate | HLA-B
38389037 | Association | COVID-19 | SLAMF1
38389037 | Association | COVID-19 | TYK2
38389037 | Association | COVID-19 | PRKDC
38389037 | Association | COVID-19 | SYK
38389037 | Association | COVID-19 | IL12B
38389037 | Association | COVID-19 | PRKCD
38389037 | Association | COVID-19 | GRK2
30742113 | Association | Neoplasms | MICB
30742113 | Association | Neoplasms | IGH
30742113 | Association | Neoplasms | MICA
27965977 | Association | Uveitis Anterior | rs10975003
27965977 | Association | Uveitis Anterior | rs10758669
27965977 | Association | Uveitis Anterior | JAK2
27965977 | Association | Uveitis Anterior | HLA-B
38370415 | Negative_Correlation | Cytomegalovirus Infections | IL7R
38370415 | Association | Chronic Disease | CD8A
38370415 | Association | Cytomegalovirus Infections | CD8A
38370415 | Association | Drug-Related Side Effects and Adverse Reactions | CMC1
38542436 | Association | IFNG | IRF1
38542436 | Negative_Correlation | baricitinib | TNF
38542436 | Association | Inflammation | IFNG
38542436 | Association | Inflammation | IRF1
38542436 | Association | Inflammation | TNF
38542436 | Association | IRF1 | TNF
38542436 | Negative_Correlation | baricitinib | IFNG
15783332 | Association | Aluminum | Silicon
30412405 | Association | Aldehydes | beta-Lactams
17534855 | Positive_Correlation | abacavir | Drug Hypersensitivity
17534855 | Negative_Correlation | abacavir | HIV Infections
33687107 | Association | KLRK1 | IFNA1
33687107 | Association | Lupus Erythematosus Cutaneous | MICA
33687107 | Association | Lupus Erythematosus Cutaneous | KLRK1
33687107 | Association | KLRK1 | ULBP2
33687107 | Association | Lupus Erythematosus Cutaneous | IFNA1
33687107 | Association | Lupus Erythematosus Cutaneous | MICB
33687107 | Association | Lupus Erythematosus Discoid | KLRK1
33687107 | Association | MICA | KLRK1
33687107 | Positive_Correlation | KLRK1 | DDX58
33687107 | Bind | KLRK1 | MICB
33687107 | Association | Skin Diseases | KLRK1
33687107 | Association | Skin Diseases | IFNA1
30291166 | Positive_Correlation | Il13 | Stat6
30291166 | Association | Il4 | Il4ra
30291166 | Positive_Correlation | Il4 | Stat6
30291166 | Association | Il13 | Il13ra1
30291166 | Association | Il13ra1 | Il4
